Time,Energy,Std
2022-08-12 08:00:00,0.0,0.0
2022-08-12 08:05:00,0.0,0.0
2022-08-12 08:10:00,0.0,0.0
2022-08-12 08:15:00,0.0,0.0
2022-08-12 08:20:00,0.0,0.0
2022-08-12 08:25:00,0.0,0.0
2022-08-12 08:30:00,116.0,63.3
2022-08-12 08:35:00,218.5,127.6
2022-08-12 08:40:00,278.6,144.2
2022-08-12 08:45:00,322.0,160.7
2022-08-12 08:50:00,365.7,182.9
2022-08-12 08:55:00,294.0,169.3
2022-08-12 09:00:00,236.3,178.8
2022-08-12 09:05:00,221.6,181.6
2022-08-12 09:10:00,279.7,191.8
2022-08-12 09:15:00,405.2,243.1
2022-08-12 09:20:00,407.5,244.7
2022-08-12 09:25:00,409.5,246.2
2022-08-12 09:30:00,411.2,247.6
2022-08-12 09:35:00,357.1,225.2
2022-08-12 09:40:00,235.9,193.5
2022-08-12 09:45:00,237.6,195.1
2022-08-12 09:50:00,239.5,196.6
2022-08-12 09:55:00,241.8,198.1
2022-08-12 10:00:00,246.6,199.3
2022-08-12 10:05:00,251.9,200.2
2022-08-12 10:10:00,253.8,201.3
2022-08-12 10:15:00,255.4,202.3
2022-08-12 10:20:00,256.3,203.2
2022-08-12 10:25:00,254.3,204.1
2022-08-12 10:30:00,251.3,205.3
2022-08-12 10:35:00,251.3,205.8
2022-08-12 10:40:00,251.3,206.2
2022-08-12 10:45:00,251.6,206.9
2022-08-12 10:50:00,252.0,207.3
2022-08-12 10:55:00,252.6,207.7
2022-08-12 11:00:00,253.2,208.1
2022-08-12 11:05:00,254.3,208.4
2022-08-12 11:10:00,254.8,208.6
2022-08-12 11:15:00,255.3,209.0
2022-08-12 11:20:00,255.6,209.3
2022-08-12 11:25:00,260.8,208.8
2022-08-12 11:30:00,269.9,208.0
2022-08-12 11:35:00,273.8,207.3
2022-08-12 11:40:00,280.2,205.3
2022-08-12 11:45:00,280.0,205.2
2022-08-12 11:50:00,274.9,205.7
2022-08-12 11:55:00,268.8,206.6
2022-08-12 12:00:00,269.6,205.8
2022-08-12 12:05:00,263.6,208.0
2022-08-12 12:10:00,264.0,208.2
2022-08-12 12:15:00,264.5,208.5
2022-08-12 12:20:00,261.4,208.9
2022-08-12 12:25:00,256.5,210.7
2022-08-12 12:30:00,256.0,210.8
2022-08-12 12:35:00,255.9,210.6
2022-08-12 12:40:00,255.6,210.4
2022-08-12 12:45:00,255.3,210.2
2022-08-12 12:50:00,255.3,210.1
2022-08-12 12:55:00,255.3,210.0
2022-08-12 13:00:00,255.1,210.0
2022-08-12 13:05:00,254.8,209.7
2022-08-12 13:10:00,254.7,209.5
2022-08-12 13:15:00,254.4,209.2
2022-08-12 13:20:00,254.3,209.1
2022-08-12 13:25:00,254.3,209.0
2022-08-12 13:30:00,254.4,209.0
2022-08-12 13:35:00,254.6,209.2
2022-08-12 13:40:00,254.9,209.4
2022-08-12 13:45:00,255.1,209.7
2022-08-12 13:50:00,255.4,210.0
2022-08-12 13:55:00,255.6,210.3
2022-08-12 14:00:00,255.7,210.5
2022-08-12 14:05:00,255.6,210.6
2022-08-12 14:10:00,255.5,210.6
2022-08-12 14:15:00,255.3,210.6
2022-08-12 14:20:00,269.2,223.4
2022-08-12 14:25:00,282.9,235.9
2022-08-12 14:30:00,295.8,247.8
2022-08-12 14:35:00,307.8,258.8
2022-08-12 14:40:00,306.7,257.9
2022-08-12 14:45:00,290.5,243.3
2022-08-12 14:50:00,274.8,229.1
2022-08-12 14:55:00,260.2,215.9
2022-08-12 15:00:00,246.8,203.6
2022-08-12 15:05:00,246.6,203.3
2022-08-12 15:10:00,247.3,203.9
2022-08-12 15:15:00,247.9,204.4
2022-08-12 15:20:00,248.4,204.7
2022-08-12 15:25:00,248.7,205.1
2022-08-12 15:30:00,249.1,205.4
2022-08-12 15:35:00,249.4,205.7
2022-08-12 15:40:00,249.7,205.8
2022-08-12 15:45:00,249.7,205.9
2022-08-12 15:50:00,249.9,205.8
2022-08-12 15:55:00,249.9,205.8
2022-08-12 16:00:00,249.9,205.7
2022-08-12 16:05:00,249.8,205.6
2022-08-12 16:10:00,249.9,205.6
2022-08-12 16:15:00,249.8,205.5
2022-08-12 16:20:00,254.8,210.1
2022-08-12 16:25:00,269.1,222.9
2022-08-12 16:30:00,282.7,235.3
2022-08-12 16:35:00,295.4,247.0
2022-08-12 16:40:00,302.2,253.3
2022-08-12 16:45:00,294.6,246.5
2022-08-12 16:50:00,278.1,231.6
2022-08-12 16:55:00,262.3,217.4
2022-08-12 17:00:00,247.3,203.2
2022-08-12 17:05:00,238.3,194.1
2022-08-12 17:10:00,238.1,193.2
2022-08-12 17:15:00,237.7,192.1
2022-08-12 17:20:00,236.9,190.8
2022-08-12 17:25:00,236.3,190.1
2022-08-12 17:30:00,235.9,189.9
2022-08-12 17:35:00,235.7,189.9
2022-08-12 17:40:00,234.7,189.2
2022-08-12 17:45:00,232.0,186.9
2022-08-12 17:50:00,227.0,182.6
2022-08-12 17:55:00,220.0,176.5
2022-08-12 18:00:00,212.0,169.4
2022-08-12 18:05:00,204.4,162.6
2022-08-12 18:10:00,198.3,157.1
2022-08-12 18:15:00,197.4,156.3
2022-08-12 18:20:00,204.7,162.9
2022-08-12 18:25:00,212.4,169.9
2022-08-12 18:30:00,219.8,176.7
2022-08-12 18:35:00,221.7,178.4
2022-08-12 18:40:00,215.8,173.2
2022-08-12 18:45:00,203.5,162.1
2022-08-12 18:50:00,191.8,151.6
2022-08-12 18:55:00,180.9,141.7
2022-08-12 19:00:00,176.0,137.3
2022-08-12 19:05:00,175.9,137.2
2022-08-12 19:10:00,176.0,137.3
2022-08-12 19:15:00,176.0,137.2
2022-08-12 19:20:00,175.9,137.0
2022-08-12 19:25:00,175.8,136.9
2022-08-12 19:30:00,175.7,136.9
2022-08-12 19:35:00,175.6,136.7
2022-08-12 19:40:00,175.4,136.4
2022-08-12 19:45:00,175.2,136.2
2022-08-12 19:50:00,175.0,136.0
